Country,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Sum,Average
Cayman Islands,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1391,3992,933,655,423,396,478,1097,386,615,837,586,825,445,125,125,110,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,126,16670,241.5942029
Comoros,174,835,935,918,818,818,835,835,717,717,817,817,817,917,917,917,917,875,875,1235,1235,1661,2469,2878,3286,4046,4755,4863,5620,6026,6485,6951,7459,7974,8493,8999,9515,9970,10378,10913,10751,11251,11551,12590,12757,13537,13109,12696,12576,12317,11818,12003,11425,11178,11053,10987,10738,10464,14401,22714,44745,63447,38180,36296,43732,9256,12674,16407,16820,16821,688802,9982.637681
Cook Islands,184,700,700,800,900,800,800,700,700,700,800,800,850,850,800,800,850,850,900,900,900,850,850,850,900,920,920,1020,1020,1113,854,864,904,934,964,995,1042,1080,1083,1090,1136,1155,1138,1023,1050,1065,1147,1070,947,855,845,1025,827,1411,3305,4069,3994,3912,4303,3754,2708,10039,6688,8312,3828,3813,5406,2211,4132,4133,123654,1792.086957
Cuba,192,9800,10000,10200,10500,11500,12800,15600,22000,21900,28200,31200,30600,35000,35612,37165,41080,43826,65955,66170,78699,104150,126650,139141,149707,163819,143013,193180,183439,211486,151711,184141,161857,191517,194349,195475.3,215225.9,239932.3,209195.6,225323.1,185846.9,179893.8,162800.6,100966.8,84934.3,77701.4,80066.2,84206.8,76801.5,58738.1,60645.1,68486,54708,32586,34088,32194,28234,27587,29485,28714,28892,23996,24106,22320,22103,25056,25634,23574,21548,21549,5728580.7,83022.9087
Dominica,212,600,600,600,800,800,600,400,400,400,500,500,500,600,600,600,500,500,500,600,600,500,600,700,800,900,1001,1024,1047,1070,642,1445,1514,1545,800,700,640,644,500,500,500,458,552,711,794,882,950,1030,1079,1212,1200,1200,1200,1198,950,700,579,694,677,699,772,700,662,625,527,1029,990,809,784,785,52720,764.057971
Dominican Republic,214,600,600,700,700,1000,1200,1400,1700,2000,1600,1300,1600,1700,3200,4200,4100,3500,3200,4600,4800,5200,4600,5600,9200,6810,5906,7053,4594,5086,7885,10658,12003,13169,12849,13875,17009.9,16988.1,20129,12663,21663,19495,16839,12846,12857,22832,17874,12894,14535,10171,8418,11015,13217,17261,18097,14223,11193,12956,13709,15382,14233,14490,14005,13663,13188,13782,11893,14640,15715,15716,673780,9764.927536
Fiji,242,2000,2000,2000,2200,2200,2500,2500,2500,2800,2800,3000,3000,3000,3200,3400,3500,3500,3500,3800,3800,3900,3900,4700,4700,4800,5036,5589,7935,9250,20243,20404,23608,24931,24227,25633,26113,26440.4,27774.5,29120,29475.3,33175.77,29518.38,25188.201,28814,30116,30307,26622,29721,30667.609,39206,42366,45106,40320,37237.8,49632.66,47390,48733,47247,46595,46387,41943,46159,44363,40863,43290,41234,44652,47126,47127,1536086.62,22262.12493
Kiribati,296,1000,1000,1000,2000,2000,3000,3000,4000,4000,4000,5000,5000,6000,6000,6000,6000,7500,7500,7500,7500,8800,8900,9100,9200,9475,9650,9824,10053,10606,10838,12929,13502,13009,22485,19380,22844,29271,37877,25002,30983,26852,29170,30023,28884,29569,32121,33687,32139,37284,56641,35446,33280,36694,33712,31061,30562,25661,34170,27299,39426,43116,62927,77779,81531,116969,146036,172822,161136,161137,2099862,30432.78261
Grenada,308,300,300,300,400,400,400,500,300,700,400,300,500,900,700,1100,1300,1200,1300,1300,1400,1300,1500,1700,1700,1634,1700,1700,2958,2238,1491,1419,788,982,1479,1555,1727,2296,2214,2092,1782,1911,2071,2115,2212,1599,1499,1577,1530,1837,1828,1701,2250,2171,2544,2039,2048,2163,2207,2386,2648,2182,2322,2263,2695,2850,2707,2550,2550,2551,111261,1612.478261
Guadeloupe,312,1500,1500,1500,1700,1800,1900,1900,2700,3000,3100,3200,3300,3000,3200,3300,3100,2600,3500,3600,4500,4700,4900,5000,4620,6000,4740,5060,9525,9000,8500,8000,8300,8722,8826,8940,8390,8511,8566,8191,8500,8600,8530,8540,8600,8800,9500,9570,10480,9474,9114,8800,8400,8000,7600,7200,6800,6400,6000,5600,5200,4800,6000,3200,3500,3000,2700,3100,3100,3101,394600,5718.84058
Guyana,328,1000,1000,1100,2900,2700,3600,3400,3100,3500,3000,5700,7400,7900,9200,10400,12000,12300,13900,16000,16600,17400,15500,17600,19000,23617,20123,20956,31907,35978,35288,31530,32798,32794,35366,37239,37579,37330,36715,36480,35304,36872,40741,41252,44123,46367,47900,48583,53998,52840,53844,48887,53405,48017,59695,56719,53370,53763,47448,42168,43605,45188,43185,53844,49268,37746,36558,42142,42977,42978,2094687,30357.78261
Haiti,332,2000,2100,2200,2200,2500,2500,2500,2800,2800,2800,3000,3000,3000,3100,3300,3400,3400,3500,3500,3500,4000,4000,4000,4000,4000,4000,4000,4150,4300,4500,5000,5500,6000,6502.1,6901,6400,6000,5767.9,5517.9,5517.9,5167,5216,5016,5615,5215,5514,6014,6313,6610,7010,7410,7810,8110,8310,9660,11010,12260,13510,14810,16010,13710,16530,16510,16510,16510,16510,16510,16510,16511,469557.8,6805.185507
Jamaica,388,5000,5000,5500,5500,5900,6000,6500,7100,7800,8300,8500,11500,11900,10000,10000,9000,9000,9000,8500,8500,8500,9300,9500,9600,10100,10100,10130,10107,9759,9826,9230,8018,8065,8813,9610,9881,9813,8969,11880,13068,13650,15250,19100,23000,25277,24750,24255,20035,17546,17264,5540,14319,14892,12482,13471,13096,17703,16398,13055,16154,15390,17998,15383,18349,15204,17025,16800,19264,19265,844684,12241.7971
Maldives,462,12000,12000,12000,14000,14000,14000,14000,15000,15000,15000,13000,12000,12000,12000,12000,19600,22400,25100,23700,32300,37273,35176,32268,35706,37258,28325,34634,29636,31769,31175,38624,40916,37838,44110,56081,62076,59964,58502,72589,72065,80225,81523,82392,90156,104242,104754,105848,108312,118285,124217,119373,127636,163770,156132,158528,186274,185811,144511,133839,117061,122804,120835,120000,130217,128695,127381,129331,142378,142379,4853994,70347.73913
Martinique,474,2100,2100,2100,2500,2600,3400,3800,3700,3600,3900,3300,3100,2900,2500,3300,3400,4000,4800,4600,4000,4000,3700,3200,3100,4056,3665,4233,2432,4375,4664,4891,4700,5500,5107,5177,4604,4038,3123,3194,3239,3498,6294,4538,5853,5800,5300,4500,5500,5500,6000,6310,6200,6200,6200,6200,5500,6300,7200,8142,7000,6000,5000,4000,900,736,750,778,783,784,284464,4122.666667
Mauritius,480,2000,2000,2000,2000,2000,2000,2200,2200,2200,2500,2500,2500,2800,2800,2800,3000,3000,3000,3300,4000,5400,5200,6600,6400,7679,7038,6660,7667,7108,6525,6348,7132,9780,9434,10346,12176,12849,17279,17117,16898,14098,18576,18861,20579,18145,16395,11869,14025,12093,12205,9615,10986,10706,10968,9971,9855,8681,8325,6871,7856,7366,7306,6352,7913,14655,15796,18211,24987,24988,614690,8908.550725
Montserrat,500,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,77,89,95,98,100,102,109,104,111,120,125,132,140,145,69,69,75,126,23,58,62,49,44,46,38,34,33,32,32,34,31,50,49,35,31,37,24,33,41,44,41,34,31,26,27,4805,69.63768116
Nauru,520,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,120,120,120,130,130,140,140,140,140,150,150,150,170,170,180,180,190,377,500,500,480,460,440,420,400,380,360,342,342,300,330,370,420,475,530,589,540,492,523,530,530,530,530,531,15941,231.0289855
